Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_THT,1,RaspberryPi_Pico,
"C1, C10, C11, C12, C13, C14, C15, C16, C2, C21, C24, C25, C26, C27, C28, C29, C3, C4, C5, C6, C7, C8, C9",0805,23,1nF,
"C17, C19, C20",0805,3,100nF,
C18,0805,1,330nF,
C22,0805,1,22uF,
C23,0805,1,2.2pF,
"D1, D2, D5, D6",D_SOD-323_HandSoldering,4,BAR63,
"D10, D13, D15, D18, D7",D_SMA,5,1N4001,C2456
"D11, D19, D20, D21, D22, D23",SOT-23,6,BAT54S,C8592
"D12, D17",0805,2,LED White,
D14,0805,1,LED Yellow,
D16,0805,1,LED Green,
D24,0805,1,Red,
"D29, D30",D_SOD-323_HandSoldering,2,BAV16W,
D3,D_SOD-323_HandSoldering,1,BAR64,
D8,0805,1,LED Blue,
D9,0805,1,LED Red,
"J1, J2, J3, J4",SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,4,SMA,
"J10, J11, J12, J5, J6, J7, J8, J9",Screw terminal 3 pin,8,Screw_Terminal,
"JP1, JP3, JP5, JP7, JP8",PinHeader_1x03_P2.54mm_Vertical,5,Conn_01x03,
JP10,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
JP2,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
"JP4, JP9",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
JP6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
L1,1008,1,1uH,
P1,Potentiometer_Bourns_3314G_Vertical,1,1K,C780221
"Q1, Q10, Q12, Q16, Q2, Q3, Q4, Q7, Q9",SOT-23,9,MMBF170,C130879
"Q11, Q14, Q5, Q8",TO-220-3_Vertical,4,IRF9Z24S,C2576
"Q13, Q15, Q6",SOT-23,3,MMBTA13,C8520
"R1, R2",0805,2,68,
"R10, R13, R14",0805,3,560,
"R12, R9",0805,2,330,
"R15, R20, R32, R34, R37, R38, R44",0805,7,10K,
R16,0805,1,5K6,
"R17, R18, R21, R27, R28, R31, R35, R45",0805,8,3K3,
"R19, R22",0805,2,56K,
"R23, R26, R30, R41",0805,4,6K8,
R24,0805,1,20K,
R25,0805,1,47K,
"R29, R39, R40",0805,3,100K,
R3,0805,1,300,
"R33, R36, R42, R43",0805,4,1K,
R4,0805,1,39,
R5,0805,1,100,
R6,0805,1,150,
R7,0805,1,120,
R8,TO-220-2_Vertical Resistor,1,VPR220 50,
U1,MSA_1,1,MAR-6,
U2,TO-220-3_Vertical,1,LM7805_TO220,
