Designator,Mid X,Mid Y,Rotation,Layer
A1,29.748,28.431991,180.0,top
C1,17.588,93.307191,180.0,bottom
C10,33.268,88.017191,90.0,bottom
C11,33.248,92.457191,90.0,bottom
C12,21.448,75.007191,90.0,bottom
C13,35.618,79.021891,90.0,top
C14,15.788,84.347191,270.0,bottom
C15,19.088,66.447191,90.0,top
C16,36.86,68.817991,90.0,top
C17,28.1986,66.404991,270.0,top
C18,14.605,58.704191,90.0,bottom
C19,14.605,52.150991,270.0,bottom
C2,9.62833,93.307191,270.0,bottom
C20,24.538,8.147191,90.0,bottom
C21,25.248,79.569691,0.0,top
C22,25.248,77.059691,0.0,top
C23,9.388,89.247191,270.0,top
C24,47.8028,60.758191,0.0,bottom
C25,23.868,19.967191,270.0,bottom
C26,34.628,9.267191,270.0,bottom
C27,34.628,19.809691,270.0,bottom
C28,34.659,14.197191,270.0,bottom
C29,34.638,25.227191,270.0,bottom
C3,13.208,88.057191,180.0,bottom
C4,16.6116,89.311191,270.0,top
C5,39.728,83.023391,180.0,top
C6,44.928,84.007191,90.0,bottom
C7,44.898,92.557641,90.0,bottom
C8,21.518,92.357191,270.0,bottom
C9,21.488,84.347191,270.0,bottom
D1,16.6116,89.225591,270.0,bottom
D10,7.788,43.287191,270.0,bottom
D11,25.508,83.384691,270.0,top
D12,16.9418,46.147591,270.0,top
D13,8.2034,67.691591,270.0,bottom
D14,16.7864,71.011591,270.0,top
D15,7.938,30.407191,270.0,bottom
D16,16.9733,33.558191,270.0,top
D17,16.9418,21.026991,270.0,top
D18,8.0264,17.574991,270.0,bottom
D19,25.528,28.037191,180.0,bottom
D2,40.863065,90.200191,90.0,bottom
D20,30.758,9.236391,270.0,bottom
D21,30.758,19.834691,270.0,bottom
D22,30.758,14.449483,270.0,bottom
D23,30.758,25.134691,270.0,bottom
D24,42.828,72.237191,0.0,top
D29,25.513,33.322191,0.0,bottom
D3,40.863065,85.501191,90.0,bottom
D30,25.538,35.847191,0.0,bottom
D5,37.3888,91.470191,180.0,bottom
